UTMX	UTMY	Idxa	Gridpt_no.	Sampled	Elev_mean	Slope_mean	Aspece_mean	Aspval_mean	Aspwest_mean	Cir_mean	Cir_median	Red_mean	Red_median	Grn_mean	Grn_median	SpringDist	StreamDist	Dist2Water	DepthClass
486109	4636243	99000585	157	n	2036.48	7.3454	184.989	0.075563	0.45862	131.834	133	132.741	134	106.154	107	1218.88503	1005.5224	1005.5224	Deep
486409	4636243	99000586	158	n	2038.8	3.3561	171.692	0.163578	0.550145	111.307	111	118.158	118	92.4642	92	962.36028	706.16812	706.16812	Deep
486709	4636243	99000587	159	n	2025.82	7.4212	74.3784	0.806516	0.863136	115.514	115	123.864	124	98.1112	98	739.31987	407.76408	407.76408	Deep
487009	4636243	99000588	160	n	1997.77	3.7897	103.196	0.636717	0.907738	122.388	121	125.54	126	102.093	102	589.10988	117.76956	117.76956	Deep
487309	4636243	99000589	161	n	2008.85	12.0425	233.992	0.122188	0.141168	87.4523	91	103.481	105	72.7898	76	572.28229	130.78854	130.78854	Deep
487609	4636243	99000590	162	n	2059.03	5.2071	157.572	0.453602	0.607733	116.087	125	125.26	131	97.7455	105	698.54391	403.93873	403.93873	Deep
487909	4636243	99000591	163	n	2055.56	1.4502	94.253	0.682683	0.923541	130.568	130	135.249	135	111.039	111	910.1759	648.90338	648.90338	Deep
488209	4636243	99000592	164	n	2049.91	1.3387	118.692	0.510603	0.862064	126.948	126	133.793	134	108.228	108	1161.41153	920.95262	920.95262	Deep
488509	4636243	99000593	165	n	2048.99	1.8416	178.084	0.249446	0.505853	132.603	132	141.021	141	113.659	113	1336.29622	1206.32991	1206.32991	Deep
488809	4636243	99000594	166	n	2048.63	1.4779	178.578	0.182236	0.526942	133.066	132	139.637	139	113.131	112	1536.15289	1215.59062	1215.59062	Deep
489109	4636243	99000595	167	n	2052.3	2.1853	278.276	0.386623	0.116402	123.678	125	132.896	133	104.797	105	1764.60869	969.00912	969.00912	Deep
489409	4636243	99000596	168	n	2065.3	3.3744	277.04	0.547916	0.157562	108.228	108	119.58	119	93.3723	93	2011.94482	759.66162	759.66162	Deep
